First name,Last name,Preferred title,Overview,Position,Department,Individual
Seyed Amirhossein,Saeidi,Instructional Assistant Professor,,Instructional Assistant Professor,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/nc072e929
Farnaz,Safdarian,Postdoctoral Researcher,,Postdoctoral Researcher,Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/na44fe249
Stephen,Safe,Distinguished Professor,The aryl hydrocarbon receptor (AhR) is a nuclear helix-loop-helix transcription factor which forms a ligand-induced nuclear heterodimer with the AhR nuclear translocator (Arnt) protein. Research in this laboratory is focused on the molecular mechanism of crosstalk between the AhR and estrogen receptor (ER) signaling pathways in which the AhR inhibits estrogen-induced gene expression. The antiestrogenic activities of some AhR agonists are also being developed as drugs for clinical treatment of breast and endometrial cancers in women. Research on estrogen-dependent gene expression in various cancer cell lines is focused on analysis of several gene promoters to determine the mechanisms of ERa and ERb action. This includes several genes that are activated through interactions of the ER with Sp1 protein and other DNA-bound transcription factors.,Distinguished Professor||Distinguished Professor||Syd Kyle Chair,College of Veterinary Medicine and Biomedical Sciences||Biochemistry and Biophysics||Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/nb20fdbd9
Alexei,Safonov,Professor,,Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/nc8cbe482
Dinakar,Sagapuram,Assistant Professor,"Dr. Sagapuram focuses his teaching and research in advanced structural materials, materials processing, manufacturing and tribology. Specific topics of interest include mechanics of large-strain plasticity, plastic flow instabilities, localization and failure mechanisms with application to cutting and metal deformation processes; and process mechanics-structure-property relationships in lightweight alloy systems. His group integrates analytical and computational models with high-speed imaging, image analysis and other in-situ experimental tools to understand physical mechanisms that govern material deformation and process mechanics at micro to macro length-scales.",Assistant Professor,Industrial and Systems Engineering,https://scholars.library.tamu.edu/vivo/display/n3b372c89
Arthur,Sakamoto,Professor,,Professor,Sociology,https://scholars.library.tamu.edu/vivo/display/na1db7311
Steven,Salaga,Assistant Professor,,Assistant Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/nd2c9b585
Ghada,Salama,Instructional Associate Professor,"Prior to joining Texas A&M University at Qatar's Chemical Engineering department in 2006, Ghada Salama held a post doctorate research grant with the United States Environmental Protection Agency's (EPA) main office in Cincinnati, Ohio.<br /><br /><br /><br />Her research focuses on engineering education.",Instructional Associate Professor,Chemical Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/nce8aceb3
Cinthya,Salazar,Assistant Professor,"Through qualitative and transformative research methodologies, I examine the systemic inequities affecting minoritized student populations in higher education. I seek to inform the work of higher education practitioners and policymakers and provide data to advocate for equitable policies and inclusive practices on college campuses. In particular, my research focuses on three distinct areas: a) the higher education experiences of undocumented students in the U.S.; b) the use of action research methodologies to enhance the study of higher education; and c) the mechanisms used by minoritized students to access, persist, and succeed in higher education. By investigating these topics, I seek to generate localized retention theories and student success models which can potentially reduce minoritized students' college attrition. In this work, I account for the multiple social identities of students and the intersecting systems of oppression affecting their educational experiences based on race, gender, social class, and immigration status, among others.",Affiliated Professor of Latino/a and Mexican American Studies||Assistant Professor||Faculty Affiliate,Educational Administration and Human Resource Development||College of Liberal Arts||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/nb04d78a7
Gabriel,Saldana,Manager Communications,,Manager Communications,Texas A&M AgriLife Research,https://scholars.library.tamu.edu/vivo/display/n9d86b2cd
Meriam,Saleh,Clinical Assistant Professor,,Clinical Assistant Professor,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/na72d7282
David,Salgado Manzano,TTI Assistant Research Scientist,,TTI Assistant Research Scientist,Research & Implementation - El Paso,https://scholars.library.tamu.edu/vivo/display/nc0d8e36f
Victoria,Salin,Professor,"Dr. Salin's areas of emphasis in the last 6 years involve (1) research on food distribution and labor costs, and (2) developing peer-mentoring for leadership skills of Master of Agribusiness students.  Currently working on estimation of stochastic frontier production technology for the refrigerated warehousing industry.",Professor,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/nd23715b4
George,Salis,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n3a5d1b4a
Khalid,Salmani,Lecturer,,Lecturer,Dean of Science,https://scholars.library.tamu.edu/vivo/display/n705bfe72
Jeff,Sammons,"Associate Executive Director, Texas A&M Energy Institute",,,,https://scholars.library.tamu.edu/vivo/display/ncf32f465
Paul,Samollow,Professor,"Comparative functional genomics and genome evolution in vertebrates; structural organization of genetic material and its relationship to patterns of gene regulation and expression within and among species. Epigenetics of meiotic recombination; patterns and epigenetic determinants of sexual dimorphism in meiotic recombination rates and chromosomal distributions. Population genomics: genetic and ecological processes that influence the distribution of genetic diversity within and among populations in nature; population structure, isolation, and speciation. QTL mapping: linkage mapping to detect genes that influence physiologic and health-related traits. Research in my laboratory focuses primarily on the genome of the gray, short-tailed opossum, Monodelphis domestica, the world's primary laboratory marsupial model for genomic, biomedical, and evolutionary research. We also study isolated desert populations of pupfishes of the genus Cyprinodon in west Texas.nature, and their roles in promoting population structuring, isolation, and speciation. QTL mapping: linkage mapping to detect genes that influence physiologic and health-related traits. Research in my laboratory focuses primarily on the genome of the gray, short-tailed opossum, Monodelphis domestica, the world's primary laboratory marsupial model for genomic, biomedical, and evolutionary research. We also study isolated desert populations of pupfishes of the genus Cyprinodon in west Texas.",Professor,Veterinary Integrative Biosciences,https://scholars.library.tamu.edu/vivo/display/n38c16b10
